Date,Hour,CO(GT),C6H6(GT),Day,Month,Year,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
3/10/2004,18,2.6,11.9,10,3,2004,False,False,True,False,False,False,False
3/10/2004,19,2.0,9.4,10,3,2004,False,False,True,False,False,False,False
3/10/2004,20,2.2,9.0,10,3,2004,False,False,True,False,False,False,False
3/10/2004,21,2.2,9.2,10,3,2004,False,False,True,False,False,False,False
3/10/2004,22,1.6,6.5,10,3,2004,False,False,True,False,False,False,False
3/10/2004,23,1.2,4.7,10,3,2004,False,False,True,False,False,False,False
3/11/2004,0,1.2,3.6,11,3,2004,False,False,False,True,False,False,False
3/11/2004,1,1.0,3.3,11,3,2004,False,False,False,True,False,False,False
3/11/2004,2,0.9,2.3,11,3,2004,False,False,False,True,False,False,False
3/11/2004,3,0.6,1.7,11,3,2004,False,False,False,True,False,False,False
3/11/2004,4,0.1,1.3,11,3,2004,False,False,False,True,False,False,False
3/11/2004,5,0.7,1.1,11,3,2004,False,False,False,True,False,False,False
3/11/2004,6,0.7,1.6,11,3,2004,False,False,False,True,False,False,False
3/11/2004,7,1.1,3.2,11,3,2004,False,False,False,True,False,False,False
3/11/2004,8,2.0,8.0,11,3,2004,False,False,False,True,False,False,False
3/11/2004,9,2.2,9.5,11,3,2004,False,False,False,True,False,False,False
3/11/2004,10,1.7,6.3,11,3,2004,False,False,False,True,False,False,False
3/11/2004,11,1.5,5.0,11,3,2004,False,False,False,True,False,False,False
3/11/2004,12,1.6,5.2,11,3,2004,False,False,False,True,False,False,False
3/11/2004,13,1.9,7.3,11,3,2004,False,False,False,True,False,False,False
3/11/2004,14,2.9,11.5,11,3,2004,False,False,False,True,False,False,False
3/11/2004,15,2.2,8.8,11,3,2004,False,False,False,True,False,False,False
3/11/2004,16,2.2,8.3,11,3,2004,False,False,False,True,False,False,False
3/11/2004,17,2.9,11.2,11,3,2004,False,False,False,True,False,False,False
3/11/2004,18,4.8,20.8,11,3,2004,False,False,False,True,False,False,False
3/11/2004,19,6.9,27.4,11,3,2004,False,False,False,True,False,False,False
3/11/2004,20,6.1,24.0,11,3,2004,False,False,False,True,False,False,False
3/11/2004,21,3.9,12.8,11,3,2004,False,False,False,True,False,False,False
3/11/2004,22,1.5,4.7,11,3,2004,False,False,False,True,False,False,False
3/11/2004,23,1.0,2.6,11,3,2004,False,False,False,True,False,False,False
3/12/2004,0,1.7,5.9,12,3,2004,False,False,False,False,True,False,False
3/12/2004,1,1.9,6.4,12,3,2004,False,False,False,False,True,False,False
3/12/2004,2,1.4,4.1,12,3,2004,False,False,False,False,True,False,False
3/12/2004,3,0.8,1.9,12,3,2004,False,False,False,False,True,False,False
3/12/2004,4,0.1,1.1,12,3,2004,False,False,False,False,True,False,False
3/12/2004,5,0.6,1.0,12,3,2004,False,False,False,False,True,False,False
3/12/2004,6,0.8,1.8,12,3,2004,False,False,False,False,True,False,False
3/12/2004,7,1.4,4.4,12,3,2004,False,False,False,False,True,False,False
3/12/2004,8,4.4,17.9,12,3,2004,False,False,False,False,True,False,False
3/12/2004,9,1.333333,22.1,12,3,2004,False,False,False,False,True,False,False
3/12/2004,10,3.1,14.0,12,3,2004,False,False,False,False,True,False,False
3/12/2004,11,2.7,11.6,12,3,2004,False,False,False,False,True,False,False
3/12/2004,12,2.1,10.2,12,3,2004,False,False,False,False,True,False,False
3/12/2004,13,2.5,11.0,12,3,2004,False,False,False,False,True,False,False
3/12/2004,14,2.7,12.8,12,3,2004,False,False,False,False,True,False,False
3/12/2004,15,2.9,14.2,12,3,2004,False,False,False,False,True,False,False
3/12/2004,16,2.8,12.7,12,3,2004,False,False,False,False,True,False,False
3/12/2004,17,2.4,11.7,12,3,2004,False,False,False,False,True,False,False
3/12/2004,18,3.9,19.3,12,3,2004,False,False,False,False,True,False,False
3/12/2004,19,3.7,18.2,12,3,2004,False,False,False,False,True,False,False
3/12/2004,20,6.6,32.6,12,3,2004,False,False,False,False,True,False,False
3/12/2004,21,4.4,20.1,12,3,2004,False,False,False,False,True,False,False
3/12/2004,22,3.5,14.3,12,3,2004,False,False,False,False,True,False,False
3/12/2004,23,5.4,21.8,12,3,2004,False,False,False,False,True,False,False
3/13/2004,0,2.7,9.6,13,3,2004,False,False,False,False,False,True,False
3/13/2004,1,1.9,7.4,13,3,2004,False,False,False,False,False,True,False
3/13/2004,2,1.6,5.4,13,3,2004,False,False,False,False,False,True,False
3/13/2004,3,1.7,5.4,13,3,2004,False,False,False,False,False,True,False
3/13/2004,4,0.1,6.2,13,3,2004,False,False,False,False,False,True,False
3/13/2004,5,1.0,2.6,13,3,2004,False,False,False,False,False,True,False
3/13/2004,6,1.2,2.9,13,3,2004,False,False,False,False,False,True,False
3/13/2004,7,1.5,5.1,13,3,2004,False,False,False,False,False,True,False
3/13/2004,8,2.7,11.8,13,3,2004,False,False,False,False,False,True,False
3/13/2004,9,3.7,15.1,13,3,2004,False,False,False,False,False,True,False
3/13/2004,10,3.2,12.9,13,3,2004,False,False,False,False,False,True,False
3/13/2004,11,4.1,16.1,13,3,2004,False,False,False,False,False,True,False
3/13/2004,12,3.6,14.0,13,3,2004,False,False,False,False,False,True,False
3/13/2004,13,2.8,12.3,13,3,2004,False,False,False,False,False,True,False
3/13/2004,14,2.0,8.6,13,3,2004,False,False,False,False,False,True,False
3/13/2004,15,2.0,9.2,13,3,2004,False,False,False,False,False,True,False
3/13/2004,16,2.5,10.2,13,3,2004,False,False,False,False,False,True,False
3/13/2004,17,2.3,10.6,13,3,2004,False,False,False,False,False,True,False
3/13/2004,18,3.2,15.5,13,3,2004,False,False,False,False,False,True,False
3/13/2004,19,4.2,19.6,13,3,2004,False,False,False,False,False,True,False
3/13/2004,20,4.2,19.2,13,3,2004,False,False,False,False,False,True,False
3/13/2004,21,4.2,18.3,13,3,2004,False,False,False,False,False,True,False
3/13/2004,22,3.1,13.1,13,3,2004,False,False,False,False,False,True,False
3/13/2004,23,2.6,10.9,13,3,2004,False,False,False,False,False,True,False
3/14/2004,0,2.9,11.0,14,3,2004,False,False,False,False,False,False,True
3/14/2004,1,2.8,11.9,14,3,2004,False,False,False,False,False,False,True
